State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Ownership_Owned_Households,Ownership_Rented_Households,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Television,sex_ratio,litracy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,566108,597466,220248,2399901,275970,15422,1377,25510,617,559211,77594,45202,8338,306433,100.0,54.112282803506005
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,897970,902997,341431,3599372,443456,20463,932,341,1417,779195,172680,48299,9915,559461,98.0,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,944555,907970,395900,3737588,397870,24129,867,253,1322,815953,196720,67087,16296,611465,100.0,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1297273,1199479,406362,4983330,77777,77825,738,413,4149,1088823,278383,93784,25381,821421,101.0,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1186028,1069877,513113,4217597,559770,89763,764,323,3282,981115,276073,80434,17424,816849,100.0,60.56780404651324
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,869721,0,1066289,2046051,1713405,87522,11446,1268,19560,437146,422826,274653,124106,746818,95.0,73.34309160066269
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,926768,877236,288044,3491139,244723,24979,2086,332,312,823820,141432,46584,14175,589283,101.0,58.43940143035361
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,668519,669262,201363,2595321,158887,33463,655,217,459,616617,115379,42171,11887,416734,101.0,58.27738196949277
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1163932,909292,567042,4023678,307043,145598,1393,863,6320,863382,328243,101450,27969,794346,99.0,66.62503503122815
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,816721,783853,306982,3328380,670737,33165,737,255,2235,710444,156505,56478,10622,543044,99.0,52.47762222080231
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,757821,848963,161052,3673456,334172,21345,658,290,388,800743,66068,60812,12615,362791,98.0,47.881386459703705
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,604719,593653,195479,2637313,342449,34301,1309,554,457,570933,90125,47170,14362,349304,99.0,53.972356070376435
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,789225,833504,197433,3249231,188646,35025,937,241,250,760789,103172,53777,18927,464172,98.0,57.35536109887357
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,545913,565165,155133,2123426,391596,19653,2357,1847,542,490840,93887,35036,10088,308270,104.0,54.47383428675576
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,763746,873486,214089,3150195,220654,18775,266,97,204,717208,127205,43611,9071,468022,98.0,56.054868242280676
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,615432,752752,149684,2666950,9025,18879,193,77,160,610487,68045,32280,5264,297418,101.0,55.32067829917643
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,527736,592458,157056,2299129,16423,17853,380,114,815,514227,68076,24128,5002,278230,102.0,52.82157106455435
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,828077,758738,288249,3273755,197333,31377,1453,253,569,761465,117060,59006,15727,462819,100.0,58.78941836418628
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1017568,1007255,248373,3733191,86142,109120,288,209,1578,836015,207958,55613,14687,648607,100.0,67.37139716218022
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,14593,33422,6498,47683,2134,35969,94,50381,95,20141,5793,1486,1102,9314,93.0,49.3665079000985
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,5318,14503,5215,12333,652,37136,36,452,23,12051,2014,885,577,3169,103.0,48.861354682933026
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,14231,19497,9524,27854,2289,18254,69,776,30,11640,5518,1582,2072,9363,98.0,63.07174390710988
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,3911,18603,1092,4859,471,51189,43,121,81,15458,410,969,605,1320,103.0,39.756288283591815
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,17157,33599,11372,99020,3846,10684,210,24452,104,17340,7188,1471,1203,12215,91.0,56.998751080795465
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,5932,12000,3950,28915,2247,9213,33,2932,19,5317,3805,742,703,4345,93.0,58.89238165680474
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,12493,18112,5365,9551,1482,34402,27,193,13,11259,3062,1598,2002,7285,98.0,65.1053835962905
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,30539,20308,30180,57027,6148,84397,310,4768,139,15037,12769,7418,6454,23203,98.0,68.55408244748631
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,8635,10730,2452,11842,787,776,1164,34920,72,6820,2134,494,895,4824,71.0,52.169998199171616
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,16026,18420,6500,20682,1103,83361,61,778,43,15861,2575,888,679,6118,94.0,42.843491850859564
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,6198,8569,2182,5261,411,5643,27,2577,7,5393,1047,392,430,2823,89.0,51.514722536806346
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,5373,14542,4672,13474,521,8779,28,297,11,13420,1635,750,569,3580,100.0,54.25893969897421
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,14188,17889,6306,31265,1970,8466,328,36087,71,9390,5787,887,1299,8634,82.0,57.76501840446948
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,14204,22272,8503,15881,2218,29969,577,3311,49,14876,4678,1300,1964,9593,93.0,57.66784829969539
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,84804,447189,52192,492966,1198036,1020,112,49,399,326160,7625,25286,5560,55319,95.0,52.9668367557814
